smiles,qed
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCO[C@@H](C)[C@H](NC(=O)N[C@H](CN2CCC(C)(C)CC2=O)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.21996138926306044
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCO[C@@H](C)[C@H](NC(=O)N[C@H](CN2C(=O)CN(C)CC2=O)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.1605508104465027
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCO[C@@H](C)[C@H](NC(=O)N[C@H](CN2C(=O)CC(C)(C)CC2=O)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.16637623556981768
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCO[C@@H](C)[C@H](NC(=O)N[C@H](CN2C(=O)C3CCC(C3)C2=O)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.1663114443672188
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,0.2824684473301362
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCCC(=O)N4C3)cc(-c3nccs3)nc2c1Br,0.3201402379190184
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1,0.31087368351915173
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,0.298879842595325
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)C[C@H]5/C=C\CCCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1,0.33075554501988147
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCCC(=O)N4C3)cc(-c3csc(NC(C)C)n3)nc2c1,0.2552444011822008
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCCC(=O)N4C3)cc(-c3cscn3)nc2c1,0.3478852776354678
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1,0.29585768364634724
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1Cl,0.26706567039723483
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)C[C@H]5/C=C\CCCCCCC(=O)N4C3)cc(-c3csc(NC(C)C)n3)nc2c1,0.28717999778142483
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,0.2824684473301362
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1Cl,0.28378457794621004
CC(C)(C)OC(=O)N[C@@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O,0.3837618098495694
CC(C)(C)OC(=O)N[C@@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O,0.3837618098495694
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)O,0.16879522008258832
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCC1)C(C)(C)C)C(=O)O,0.1650161763750623
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3c(C)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.14797111135034813
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)CC)n3)nc3c(Cl)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.14899581495838687
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)CC(C)(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.1409014874219239
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)CC)n3)nc3c(F)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.16101858758749338
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)OC)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.15754346765647675
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)OC(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.13296764089759222
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCCC1)C(C)(C)C)C(=O)O,0.1461880506653649
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)=O)n3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.18314563645161025
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)CC)n3)nc3c(C)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.15729287178230855
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)=O)n3)nc3c(C)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.1762344426335014
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)CC)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.14599948286834316
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)C(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,0.14071186767793525
CCCC[C@H](NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,0.23014678577010564
CCCC[C@H](NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@@H]3CCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,0.23014678577010564
CCCC[C@H](NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,0.22567881603188308
CCCC[C@H](NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@@H]3CCCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,0.22567881603188308
C=CCNC(=O)C(=O)[C@H](CCCC)NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C,0.1681250540466494
C=CCNC(=O)C(=O)[C@H](CCC)NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C,0.18008208624119235
C=CCNC(=O)C(=O)[C@H](CCC1CC1)NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C,0.16717216310071228
C=CCNC(=O)C(=O)[C@H](CCCC)NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C,0.16994742571241742
C=CCNC(=O)C(=O)C(CCC)NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C,0.18174434755144145
C=CCNC(=O)C(=O)[C@H](CCC1CC1)NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C,0.16880567499475416
CCC[C@H](NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,0.24146321872689594
CC(C)(C)[C@H](NC(=O)NC1([C@H]2CCCCS2(=O)=O)CCCCC1)C(=O)N1C[C@@H]2[C@H]([C@H]1C(=O)N[C@@H](CCC1CC1)C(=O)C(=O)NC1CC1)C2(C)C,0.2243997246929627
CCC[C@H](NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,0.24365429463074756
CC(C)(C)[C@H](NC(=O)NC1([C@H]2CCCS2(=O)=O)CCCCC1)C(=O)N1C[C@@H]2[C@H]([C@H]1C(=O)N[C@@H](CCC1CC1)C(=O)C(=O)NC1CC1)C2(C)C,0.22654489554605664
CCCC[C@H](NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCCS3(=O)=O)CCCCC1)C1(C)CCCCC1)C2(C)C)C(=O)C(=O)NC1CC1,0.20381190149278772
CCC[C@H](NC(=O)[C@@H]1[C@H]2[C@@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCCS3(=O)=O)CCCCC1)C1(C)CCCCC1)C2(C)C)C(=O)C(=O)NC1CC1,0.22066147309016576
