PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition,Standard Deviation
RESULT_TYPE,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 6 micromolar.,Standard deviation of the counterscreen assay derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,6,
304,49721405,22515899,Active,16,,,15.16,0.951271
305,49721504,4911266,Inactive,6,,,6.41,0.977101
306,49722098,16017527,Inactive,6,,,5.93,0.164113
307,49722141,135693201,Inactive,7,,,6.67,1.24203
308,49722416,16034541,Inactive,2,,,2.27,0.400824
309,49723031,22551764,Inactive,3,,,3.36,1.32296
310,49723172,16017324,Inactive,6,,,6.14,0.673043
311,49724079,16019819,Inactive,1,,,1.25,1.40021
312,49724688,4944777,Inactive,0,,,0.01,0.959425
313,49724780,7254819,Inactive,1,,,1.24,1.39527
314,49725413,135531840,Inactive,0,,,0.14,1.012
315,49725532,1936560,Inactive,6,,,6.01,0.995185
316,49726373,3191638,Inactive,9,,,9.12,1.65812
317,49726948,2939288,Active,65,,,60.23,0.788996
318,49727024,3191502,Inactive,11,,,10.87,1.87577
319,49728915,3196510,Inactive,9,,,8.6,1.02098
320,49730186,3196508,Active,81,,,74.94,0.233799
321,49730483,9596269,Inactive,0,,,0.89,1.6285
322,49731510,4137407,Inactive,2,,,2.66,1.81679
323,49731701,54688584,Inactive,5,,,5.33,0.92315
324,49731854,5824720,Inactive,11,,,10.74,0.647823
325,49731974,24792919,Inactive,7,,,6.47,0.780331
326,49732374,2420336,Inactive,1,,,1.51,1.85166
327,49733167,3221960,Active,21,,,20.09,0.347659
328,49733419,3196509,Active,51,,,47.75,0.797903
329,49733660,3191728,Active,36,,,33.83,1.12471
330,49733661,3191469,Active,32,,,29.95,0.484737
331,49733682,5756577,Inactive,0,,,0.23,1.14564
332,49735817,6023693,Inactive,11,,,10.33,1.54037
333,49736236,16007641,Inactive,1,,,1.66,1.3471
334,49736472,22518136,Inactive,0,,,0.65,1.21434
335,49737169,22517479,Inactive,9,,,8.4,0.631724
336,49737517,6460643,Inactive,0,,,-0.51,1.87284
337,49816184,16404473,Inactive,4,,,4.1,1.46607
338,49816232,1891999,Inactive,1,,,1.1,1.38406
339,49816250,2915854,Inactive,0,,,-0.87,0.963085
340,49816909,6470683,Inactive,0,,,-0.15,1.34401
341,49817047,6470895,Inactive,0,,,0.05,0.83706
342,49817407,4679126,Inactive,4,,,4.2,1.68237
343,49818186,24817254,Active,38,,,35.79,0.131591
344,49818187,24817255,Active,37,,,35.05,1.06368
345,49818189,24817257,Active,51,,,47.84,0.934978
346,49818195,24817263,Active,23,,,21.26,1.57429
347,49819114,2958977,Inactive,0,,,0.28,3.88412
348,49819897,4900532,Inactive,6,,,5.61,1.11136
349,49819958,4907806,Inactive,1,,,1.08,0.733428
350,49819959,4910360,Inactive,5,,,5.17,0.788326
351,49820287,9662819,Inactive,0,,,-0.49,0.321014
352,49820367,9637339,Inactive,5,,,5.12,1.46753
353,49821624,1768585,Inactive,9,,,8.81,1.90709
354,49822005,4220289,Inactive,0,,,-4.69,0.815861
355,49825353,2229132,Inactive,0,,,-6.06,1.12347
356,49825566,2993330,Inactive,3,,,2.84,0.750075
357,49825630,6465235,Inactive,0,,,-5.56,0.844791
358,49825790,986562,Inactive,7,,,6.73,0.819018
359,49825925,5897880,Active,19,,,18.03,0.622421
360,49826085,2193552,Inactive,9,,,8.89,1.0458
